Robert Lawson;188;El SalvadorRegion1;5
Karen Richardson;188;PanamaRegion1;4
Angelica Solomon;97;Cape VerdeRegion4;2
Jared Griffith;47;BelgiumRegion5;2
Paul Johnson;192;NigerRegion2;2
Samantha Deleon;114;JapanRegion5;2
Richard Coleman;18;AustraliaRegion5;2
Cody Davis;141;FranceRegion4;4
Wayne Rogers;42;TurkeyRegion2;4
Christina Gonzalez;89;CroatiaRegion5;5
Christine Simmons;75;PalauRegion1;4
Jessica Lewis;237;CongoRegion4;2
Mark Rodriguez;36;TanzaniaRegion1;2
Teresa Pope;2;GermanyRegion5;1
Matthew Williams;11;SenegalRegion3;4
Crystal Vasquez;172;ThailandRegion1;3
Robin Cain;219;PanamaRegion1;2
Amanda Hunt;93;Sri LankaRegion4;2
Amanda Wilson;194;SudanRegion2;2
Amanda Wright;189;Papua New GuineaRegion3;4
Robert Rojas;7;GeorgiaRegion1;5
Henry Meyer;86;GuernseyRegion3;1
Mr. William Murray;99;South Georgia and the South Sandwich IslandsRegion3;3
Kimberly Moore;71;Antarctica (the territory South of 60 deg S)Region3;4
Robert James;58;UkraineRegion1;3
Karina Huffman;149;PhilippinesRegion1;3
Antonio Stanton;237;Pitcairn IslandsRegion3;5
Wanda Whitehead;38;United KingdomRegion4;1
Erin Rodriguez;234;Isle of ManRegion1;3
Walter Hawkins;30;BoliviaRegion4;4
Sarah Johnson;9;British Indian Ocean Territory (Chagos Archipelago)Region2;4
Christopher Ho;55;ArmeniaRegion1;5
Jessica Barajas;53;Antarctica (the territory South of 60 deg S)Region1;5
Olivia Williams;3;Saint MartinRegion5;2
Brian Castro Jr.;189;Northern Mariana IslandsRegion4;1
Diana Miller;127;Christmas IslandRegion2;2
Eric Heath;171;PolandRegion5;3
Keith Jones;90;TaiwanRegion2;3
Melinda Johnson;229;NiueRegion5;5
Grace Andrade;159;CongoRegion1;1
Dawn Johnson;11;Marshall IslandsRegion1;3
Lisa Hansen;184;HaitiRegion1;5
Sherry Campbell;46;Saint LuciaRegion1;4
Casey Brown;12;MadagascarRegion1;5
Sierra Norris;116;Sao Tome and PrincipeRegion3;3
Jeffrey Barber;31;LebanonRegion1;1
Samantha Rodriguez;239;Dominican RepublicRegion1;5
John Sheppard;114;French Southern TerritoriesRegion1;2
